"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"South Carolina",2020-04-15,-425,528,103,1000,1000,1000
"South Dakota",2020-04-15,-69,81,12,1000,1000,1000
"Tennessee",2020-04-15,-682,816,134,1000,1000,1000
"Texas",2020-04-15,-2796.5,3124.5,328,1000,1000,1000
"Utah",2020-04-15,-235.5,291.5,56,1000,1000,1000
"Vermont",2020-04-15,-34,45,11,1000,1000,1000
"Virginia",2020-04-15,-591.5,711.5,120,1000,1000,1000
"Washington",2020-04-15,-340.5,473.5,133,1000,1000,1000
"West Virginia",2020-04-15,-252,266,14,1000,1000,1000
"Wisconsin",2020-04-15,-378.5,442.5,64,1000,1000,1000
"Wyoming",2020-04-15,-54,60,6,1000,1000,1000
"Alabama",2020-04-16,-418,472,54,1000,1000,1000
"Alaska",2020-04-16,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-16,-672.5,745.5,73,1000,1000,1000
"Arkansas",2020-04-16,-313.5,327.5,14,1000,1000,1000
"California",2020-04-16,-2932,3494,562,1000,1000,1000
"Colorado",2020-04-16,-387.5,522.5,135,1000,1000,1000
"Connecticut",2020-04-16,-33,343,310,1000,1000,1000
"Delaware",2020-04-16,-79.5,108.5,29,1000,1000,1000
"Florida",2020-04-16,-1897,2460,563,1000,1000,1000
"Georgia",2020-04-16,-864,1147,283,1000,1000,1000
"Hawaii",2020-04-16,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-16,-48.5,103.5,55,1000,1000,1000
"Illinois",2020-04-16,-716,1141,425,1000,1000,1000
"Indiana",2020-04-16,-530,764,234,1000,1000,1000
"Iowa",2020-04-16,-252.5,280.5,28,1000,1000,1000
"Kansas",2020-04-16,-243.5,262.5,19,1000,1000,1000
"Kentucky",2020-04-16,-460.5,488.5,28,1000,1000,1000
"Louisiana",2020-04-16,160.5,568.5,729,1000,1000,1000
"Maine",2020-04-16,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-16,-327,499,172,1000,1000,1000
"Massachusetts",2020-04-16,-294,741,447,1000,1000,1000
"Michigan",2020-04-16,-252,933,681,1000,1000,1000
"Minnesota",2020-04-16,-414,431,17,1000,1000,1000
"Mississippi",2020-04-16,-328.5,385.5,57,1000,1000,1000
"Missouri",2020-04-16,-609.5,736.5,127,1000,1000,1000
"Montana",2020-04-16,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-16,-235,247,12,1000,1000,1000
"Nevada",2020-04-16,-378.5,429.5,51,1000,1000,1000
